Report_ID,Date,Location,Department,Category_Tag,Ground_Truth_Severity,Report_Text
A4F2959D-B,2025-07-18,Chemical Storage,Sanitation,Behavioral,Ordinary,"While conducting the monthly audit, someone forgot to push their ergonomic chair back in under the desk. Not a huge deal but should be fixed when there is time. No action taken, just reporting it for the record."
1BA33F7B-4,2025-06-29,Chemical Storage,Health & Safety (EHS),Minor Maintenance,Ordinary,"I was walking back from the breakroom and the yellow paint on the pedestrian walkway lines is starting to fade. Looks a bit untidy and unprofessional. No action taken, just reporting it for the record."
9683FF5D-5,2025-05-04,Security Desk,Human Resources,Minor Maintenance,Ordinary,"While calibrating the sensors, the soap dispenser in the men's restroom is empty again. Put in a low-priority work order in the system."
E2B8862F-B,2026-08-26,Production Line 3,IT,Housekeeping,Ordinary,"walking the perimeter, there was a visible layer of dust buildup on the ceiling ventilation grate."
51FE9487-E,2025-06-28,Paint Shop,Sanitation,Behavioral,Ordinary,"during the mid-day inspection, someone was wearing earbuds in both ears while at their desk. someone might stub their toe if they aren't looking. flattened the mat out with my foot and kept walking."
B1D2B11E-1,2024-11-13,Maintenance Shop,IT,Minor Maintenance,Ordinary,"during the mid-day inspection, the wall clock in the cafeteria has a dead battery. looks a bit untidy and unprofessional. sent a quick email to facilities about it."
D7FA78E3-0,2024-09-03,Rooftop HVAC Unit,R&D,Behavioral,Ordinary,"Following up on a previous ticket, a worker was wearing their safety glasses on their forehead while filling out paperwork."
B9F4A119-F,2026-09-07,Loading Dock North,Facilities,Behavioral,Ordinary,while escorting a contractor someone left their lunch in the microwave for too long and it smells wiped it up with a paper towel on my way past
D8DD3619-F,2026-04-24,Paint Shop,Quality Assurance,Minor Maintenance,Ordinary,the soap dispenser in the men's restroom is empty again not a huge deal but should be fixed when there is time put in a low-priority work order in the system
EC6A55C1-F,2024-09-19,Main Office,Human Resources,Housekeeping,Ordinary,"While unloading the delivery truck, the paper shredder bin is slightly overflowing onto the carpet. Annoying squeak, but harmless. Sent a quick email to facilities about it."
5D09868A-F,2025-12-23,Loading Dock South,IT,Minor Maintenance,Ordinary,"during the late night shift, the ac in the admin wing seems to be running a bit warm today. i just picked it up myself and threw it away."
69575BCA-E,2024-03-17,Visitor Parking Lot,Health & Safety (EHS),Behavioral,Ordinary,"During the shift handover, people were talking quite loudly near the designated quiet zone. Looks a bit untidy and unprofessional. Left a sticky note on it for the janitorial staff."
6B4BFAC8-5,2024-10-29,Assembly Station Alpha,Fleet Management,Minor Maintenance,Ordinary,"Just after lunch, the wall clock in the cafeteria has a dead battery. Just wanted to note it for the next routine maintenance cycle. Reminded them politely to fix it next time."
D853285E-C,2025-06-17,Server Room,Security,Electrical,Critical,"During the mid-day inspection, there was a distinct burning smell and buzzing coming from the breaker panel. This is an immediate OSHA shutdown violation. Stood guard to prevent anyone from entering the zone while waiting for Hazmat."
F976CE0B-F,2026-03-25,Freight Elevator,IT,Minor Maintenance,Ordinary,"Doing a random spot check, the door hinge to the breakroom is squeaking quite loudly. Looks a bit untidy and unprofessional. No action taken, just reporting it for the record."
85175532-5,2024-09-11,Main Office,Admin,Minor Maintenance,Ordinary,Walking teh perimeter teh soap dispenser in teh men's restroom is empty again.
129E4AF0-B,2025-01-02,Mezzanine Level,Manufacturing,Equipment/LOTO,Critical,"While calibrating the sensors, the pressure release valve on the main boiler was completely rusted shut This could lead to a severe chemical burn or respiratory damage I immediately locked out the machine (LOTO) and called the shift supervisor"
1A0B4EC8-F,2025-03-26,Loading Dock South,R&D,Behavioral,Ordinary,"doing a random spot check, someone left their lunch in the microwave for too long and it smells. purely a cosmetic issue, but worth logging. left a sticky note on it for the janitorial staff."
C36D70B2-5,2024-10-31,Production Line 3,Manufacturing,Minor Slip/Trip,Ordinary,"during the mid-day inspection, a few drops of water were on the floor near the breakroom sink. looks a bit untidy and unprofessional."
9C59FC2B-A,2025-02-06,Paint Shop,Health & Safety (EHS),Housekeeping,Ordinary,"During my routine walkthrough, someone left their empty coffee cups on the shared workstation. Purely a cosmetic issue, but worth logging. No action taken, just reporting it for the record."
DA0E9DAC-5,2024-09-02,Main Office,Operations,Minor Slip/Trip,Ordinary,"while escorting a contractor, a stray paperclip was on the ground in the hallway. annoying squeak, but harmless. left a sticky note on it for the janitorial staff."
35678D7E-D,2024-07-25,Hallway C,R&D,Minor Maintenance,Ordinary,"while operating the equipment, the wall clock in the cafeteria has a dead battery. just wanted to note it for the next routine maintenance cycle. left a sticky note on it for the janitorial staff."
82B3D1F8-6,2025-10-03,Chemical Storage,R&D,Fire/Explosion,Critical,"At the start of the morning shift, someone was grinding metal directly next to the open paint-thinner vats. Stood guard to prevent anyone from entering the zone while waiting for Hazmat."
507A4B6F-5,2026-02-22,Security Desk,Facilities,Equipment/LOTO,Critical,At the start of the morning shift a driver was speeding a forklift blindly around a blind corner with the forks raised high Could result in permanent eye damage or blindness I immediately locked out the machine (LOTO) and called the shift supervisor
EB36CDE7-8,2024-12-05,Visitor Parking Lot,Operations,Behavioral,Ordinary,"while calibrating the sensors, a worker was wearing their safety glasses on their forehead while filling out paperwork. put in a low-priority work order in the system."
DFEE9710-F,2024-10-30,Visitor Parking Lot,R&D,Minor Maintenance,Ordinary,While operating the equipment the paint is peeling off the handrail near the back stairs. Just wanted to note it for the next routine maintenance cycle. Wiped it up with a paper towel on my way past.
0F184048-B,2026-02-21,Freight Elevator,Fleet Management,Minor Maintenance,Ordinary,While unloading the delivery truck the bathroom sink faucet has a slow steady drip. Wiped it up with a paper towel on my way past.
2485DE1B-2,2024-08-12,Hallway C,Sanitation,Uncategorized,Ordinary,"While operating the equipment, someone was wearing earbuds in both ears while at their desk. Reminded them politely to fix it next time."
7E30B25F-F,2026-08-07,Server Room,Facilities,Housekeeping,Ordinary,"Responding to a strange noise, the blue recycling bin is full and needs to be emptied. Left a sticky note on it for the janitorial staff."
97732168-D,2025-11-02,Main Office,Sanitation,Minor Maintenance,Ordinary,"Doing a random spot check, one of the fluorescent overhead lights is flickering annoyingly. It's just a minor inconvenience. Left a sticky note on it for the janitorial staff."
14A09CFC-A,2025-05-06,Cold Storage,IT,Uncategorized,Ordinary,"During the late night shift, the welcome floor mat in the hallway was slightly bunched up at the corner. Sent a quick email to facilities about it."
F355368F-7,2025-08-23,Production Line 1,Manufacturing,Housekeeping,Ordinary,"During the shift handover, the main trash bin was overflowing with paper towels. Just wanted to note it for the next routine maintenance cycle. Left a sticky note on it for the janitorial staff."
50C96DB6-A,2025-07-23,Loading Dock North,Health & Safety (EHS),Housekeeping,Ordinary,"While unloading the delivery truck, the blue recycling bin is full and needs to be emptied. Flattened the mat out with my foot and kept walking."
C5541658-8,2025-12-10,Freight Elevator,Engineering,Housekeeping,Ordinary,"While operating the equipment, a wet mop was left leaning against the wall instead of being hung up. Reminded them politely to fix it next time."
3BD79FB3-1,2024-02-18,Breakroom,Fleet Management,Housekeeping,Ordinary,"During the late night shift, the paper shredder bin is slightly overflowing onto the carpet. Someone might stub their toe if they aren't looking. Sent a quick email to facilities about it."
A2D2D593-B,2024-03-02,Visitor Parking Lot,Fleet Management,Minor Maintenance,Ordinary,"walking the perimeter, one of the fluorescent overhead lights is flickering annoyingly. not a huge deal but should be fixed when there is time. reminded them politely to fix it next time."
DCBBA656-8,2024-11-27,Breakroom,Operations,Minor Maintenance,Ordinary,"at the start of the morning shift, the yellow paint on the pedestrian walkway lines is starting to fade. put in a low-priority work order in the system."
00ACA286-F,2024-12-19,Boiler Room,Operations,Behavioral,Ordinary,"while calibrating the sensors, someone was wearing earbuds in both ears while at their desk purely a cosmetic issue, but worth logging no action taken, just reporting it for the record"
78776F00-5,2025-04-03,Breakroom,Quality Assurance,Housekeeping,Ordinary,i was walking back from the breakroom and the blue recycling bin is full and needs to be emptied. someone might stub their toe if they aren't looking. wiped it up with a paper towel on my way past.
84F8C842-B,2024-11-16,Hallway C,R&D,Behavioral,Ordinary,Doing a random spot check a worker was wearing their safety glasses on their forehead while filling out paperwork. No action taken just reporting it for the record.
1A7A594D-D,2025-04-24,Hallway C,Security,Housekeeping,Ordinary,"During the late night shift, the blue recycling bin is full and needs to be emptied. Looks a bit untidy and unprofessional. I just picked it up myself and threw it away."
B2D02573-7,2024-05-30,Chemical Storage,IT,Housekeeping,Ordinary,"someone left their empty coffee cups on the shared workstation. Annoying squeak, but harmless. Left a sticky note on it for the janitorial staff."
E9129FF1-7,2025-10-18,Hazardous Waste Bay,Operations,Behavioral,Ordinary,i was walking back from the breakroom and a worker was wearing their safety glasses on their forehead while filling out paperwork. someone might stub their toe if they aren't looking. put in a low-priority work order in the system.
892B1006-1,2024-07-11,Assembly Station Alpha,Manufacturing,Housekeeping,Ordinary,"While doing some cleanup, there was a visible layer of dust buildup on the ceiling ventilation grate. It's just a minor inconvenience."
F9389B5D-9,2024-07-29,Loading Dock North,Logistics,Minor Slip/Trip,Ordinary,"During the mid-day inspection, the welcome floor mat in the hallway was slightly bunched up at the corner. Sent a quick email to facilities about it."
1BA40611-6,2025-12-16,Production Line 2,Human Resources,Minor Slip/Trip,Ordinary,"Following up on a previous ticket, an extension cord was temporarily taped across the floor for the vacuum. Looks a bit untidy and unprofessional. Left a sticky note on it for the janitorial staff."
CFA2DABC-9,2026-08-28,Assembly Station Alpha,Security,Minor Slip/Trip,Ordinary,"at the start of the morning shift, a stray paperclip was on the ground in the hallway. purely a cosmetic issue, but worth logging. put in a low-priority work order in the system."
621B7677-8,2024-10-18,Hazardous Waste Bay,Human Resources,Behavioral,Ordinary,"following up on a previous ticket, a worker was wearing their safety glasses on their forehead while filling out paperwork reminded them politely to fix it next time"
9B02CCAA-F,2025-04-22,Cold Storage,Human Resources,Slip/Trip/Fall,Critical,Doing a random spot check the safety guardrail on the second-story mezzanine had been completely removed We could be facing a massive environmental spill fine I immediately locked out the machine (LOTO) and called the shift supervisor
E2D39801-C,2026-06-09,Mezzanine Level,Engineering,Housekeeping,Ordinary,"While unloading the delivery truck, the paper shredder bin is slightly overflowing onto the carpet. Someone might stub their toe if they aren't looking. Put in a low-priority work order in the system."
28CFE28B-C,2024-01-26,Warehouse B,Health & Safety (EHS),Minor Slip/Trip,Ordinary,"While operating the equipment, an extension cord was temporarily taped across the floor for the vacuum. Someone might stub their toe if they aren't looking. Put in a low-priority work order in the system."
3AC28612-F,2026-04-17,Rooftop HVAC Unit,Quality Assurance,Uncategorized,Ordinary,"during the late night shift, the whiteboard in the meeting room wasn't erased after the morning huddle. left a sticky note on it for the janitorial staff."
71C39140-8,2025-10-25,Hazardous Waste Bay,Fleet Management,Minor Maintenance,Ordinary,"while escorting a contractor, the yellow paint on the pedestrian walkway lines is starting to fade. annoying squeak, but harmless. i just picked it up myself and threw it away."
C7A4C46E-8,2026-06-01,Visitor Parking Lot,Health & Safety (EHS),Housekeeping,Ordinary,"During the mid-day inspection, the main trash bin was overflowing with paper towels It's just a minor inconvenience No action taken, just reporting it for the record"
884E66B1-0,2025-06-06,Boiler Room,Admin,Minor Maintenance,Ordinary,"while doing some cleanup, the wall clock in the cafeteria has a dead battery. wiped it up with a paper towel on my way past."
E28C073B-B,2024-01-03,Main Office,Operations,Housekeeping,Ordinary,"Doing a random spot check, a wet mop was left leaning against the wall instead of being hung up. It's just a minor inconvenience. Reminded them politely to fix it next time."
B4096104-D,2024-11-23,Security Desk,Logistics,Behavioral,Ordinary,"While doing some cleanup, someone was wearing earbuds in both ears while at their desk. Annoying squeak, but harmless. Flattened the mat out with my foot and kept walking."
C08B6874-F,2024-09-24,Mezzanine Level,Security,Uncategorized,Ordinary,During the shift handover there was a visible layer of dust buildup on the ceiling ventilation grate. Not a huge deal but should be fixed when there is time. I just picked it up myself and threw it away.
76A7FF67-5,2024-07-24,Visitor Parking Lot,Quality Assurance,Housekeeping,Ordinary,"responding to a strange noise, the whiteboard in the meeting room wasn't erased after the morning huddle. wiped it up with a paper towel on my way past."
F2FB038A-9,2024-08-17,Breakroom,IT,Uncategorized,Ordinary,At the start of the morning shift there was a visible layer of dust buildup on the ceiling ventilation grate. Just wanted to note it for the next routine maintenance cycle. Put in a low-priority work order in the system.
1D351B22-B,2024-11-12,Warehouse A,Health & Safety (EHS),Uncategorized,Ordinary,"while escorting a contractor, the door hinge to the breakroom is squeaking quite loudly. looks a bit untidy and unprofessional. sent a quick email to facilities about it."
73E8641E-8,2026-04-27,Loading Dock South,Manufacturing,Housekeeping,Ordinary,"At the start of the morning shift, the paper shredder bin is slightly overflowing onto the carpet."
9E0BF7FE-8,2025-09-29,Warehouse B,Manufacturing,Behavioral,Ordinary,"During the mid-day inspection, someone was wearing earbuds in both ears while at their desk. Flattened the mat out with my foot and kept walking."
FFFDC613-F,2025-07-18,Security Desk,Health & Safety (EHS),Behavioral,Ordinary,"During the mid-day inspection, an employee was walking while texting in the admin corridor. Not a huge deal but should be fixed when there is time. Wiped it up with a paper towel on my way past."
47841D17-6,2024-05-11,Production Line 3,Operations,Behavioral,Ordinary,"At the start of the morning shift, people were talking quite loudly near the designated quiet zone Annoying squeak, but harmless Flattened the mat out with my foot and kept walking"
FF6CC7CD-3,2025-10-09,Rooftop HVAC Unit,Human Resources,Minor Slip/Trip,Ordinary,"While operating the equipment, a few drops of water were on the floor near the breakroom sink. Purely a cosmetic issue, but worth logging. Wiped it up with a paper towel on my way past."
F6542C8F-8,2024-12-26,Loading Dock North,Health & Safety (EHS),Minor Slip/Trip,Ordinary,"While unloading the delivery truck, a stray paperclip was on the ground in the hallway. Just wanted to note it for the next routine maintenance cycle. I just picked it up myself and threw it away."
37323669-D,2025-01-15,Assembly Station Alpha,Human Resources,Minor Slip/Trip,Ordinary,"During my routine walkthrough, the welcome floor mat in the hallway was slightly bunched up at the corner Someone might stub their toe if they aren't looking"
F4803BFE-6,2025-08-15,Loading Dock South,R&D,Minor Maintenance,Ordinary,"Responding to a strange noise, the soap dispenser in the men's restroom is empty again. It's just a minor inconvenience. No action taken, just reporting it for the record."
EE0FA9CC-A,2025-03-14,Paint Shop,Manufacturing,Slip/Trip/Fall,Critical,"just before heading home, the scaffolding for the overhead repair looked visibly bowed and structurally compromised. if someone hadn't noticed, this could have caused a fatal incident. evacuated the immediate area, hit the emergency stop, and called security."
A124E64C-8,2026-03-14,Mezzanine Level,Engineering,Minor Maintenance,Ordinary,"Responding to a strange noise, the wall clock in the cafeteria has a dead battery. It's just a minor inconvenience. Sent a quick email to facilities about it."
F35F41C8-F,2025-05-25,Production Line 2,Engineering,Minor Slip/Trip,Ordinary,"Responding to a strange noise, an extension cord was temporarily taped across the floor for the vacuum. Left a sticky note on it for the janitorial staff."
1A23BB3B-F,2025-09-28,Server Room,Health & Safety (EHS),Fire/Explosion,Critical,"the emergency fire doors at the end of the hall were chained and padlocked shut. If someone hadn't noticed, this could have caused a fatal incident. Evacuated the immediate area, hit the emergency stop, and called security."
04593CE3-8,2026-01-10,Freight Elevator,Sanitation,Behavioral,Ordinary,"During the mid-day inspection, an employee was walking while texting in the admin corridor. Someone might stub their toe if they aren't looking. Reminded them politely to fix it next time."
842F2DD5-E,2024-07-01,Security Desk,Security,Behavioral,Ordinary,a worker was wearing their safety glasses on their forehead while filling out paperwork. just wanted to note it for the next routine maintenance cycle. put in a low-priority work order in the system.
C1509CF0-6,2026-06-08,Mezzanine Level,Quality Assurance,Housekeeping,Ordinary,"While calibrating the sensors, a wet mop was left leaning against the wall instead of being hung up. Not a huge deal but should be fixed when there is time. Put in a low-priority work order in the system."
D4426074-0,2024-09-14,Server Room,Health & Safety (EHS),Behavioral,Ordinary,"Walking the perimeter, someone forgot to push their ergonomic chair back in under the desk Sent a quick email to facilities about it"
5216A3EF-D,2024-09-19,Security Desk,Security,Minor Slip/Trip,Ordinary,a stray paperclip was on the ground in the hallway. Someone might stub their toe if they aren't looking. Reminded them politely to fix it next time.
240499C1-4,2024-08-22,Welding Bay,R&D,Minor Maintenance,Ordinary,"During my routine walkthrough, the soap dispenser in the men's restroom is empty again. Annoying squeak, but harmless. Reminded them politely to fix it next time."
C8C3B1E4-F,2024-09-15,Cold Storage,Logistics,Behavioral,Ordinary,people were talking quite loudly near the designated quiet zone. Reminded them politely to fix it next time.
9ADB331C-3,2024-08-04,Breakroom,Sanitation,Behavioral,Ordinary,"while calibrating the sensors, an employee was walking while texting in the admin corridor. someone might stub their toe if they aren't looking. no action taken, just reporting it for the record."
648CA4A7-D,2024-02-18,Warehouse B,Logistics,Housekeeping,Ordinary,I was walking back from the breakroom and muddy footprints were tracked all through the main visitor lobby. Flattened the mat out with my foot and kept walking.
BC2C25FC-3,2025-12-03,Security Desk,Admin,Equipment/LOTO,Critical,"Just before heading home, the forklift brakes failed completely during a stop, sliding 10 feet. Someone could have easily lost a limb or worse. Immediately shut off the main gas valve and opened the bay doors for ventilation."
20FA0F1B-8,2024-11-30,Breakroom,Manufacturing,Housekeeping,Ordinary,"Just after lunch, someone left their empty coffee cups on the shared workstation."
8580842E-9,2024-01-22,Mezzanine Level,Human Resources,Housekeeping,Ordinary,a wet mop was left leaning against the wall instead of being hung up. Put in a low-priority work order in the system.
4E00A144-A,2024-04-05,Maintenance Shop,Engineering,Minor Slip/Trip,Ordinary,At the start of the morning shift a few drops of water were on the floor near the breakroom sink. Annoying squeak but harmless. Sent a quick email to facilities about it.
2BE0DDD5-0,2024-06-27,Loading Dock North,Logistics,Equipment/LOTO,Critical,"While calibrating the sensors, the laser safety guard on the metal lathe had been intentionally bypassed with black tape. We could be facing a massive environmental spill fine."
A0BFEBCC-7,2026-08-12,Welding Bay,IT,Minor Slip/Trip,Ordinary,"During the late night shift, a small piece of packing cardboard was left on the floor near the printers. Wiped it up with a paper towel on my way past."
0F092639-B,2026-01-16,Visitor Parking Lot,Security,Housekeeping,Ordinary,I was walking back from the breakroom and the whiteboard in the meeting room wasn't erased after the morning huddle. Put in a low-priority work order in the system.
12ADE2B1-D,2025-04-29,Loading Dock South,Facilities,Housekeeping,Ordinary,"Responding to a strange noise, the whiteboard in the meeting room wasn't erased after the morning huddle. Looks a bit untidy and unprofessional. No action taken, just reporting it for the record."
E5889EEC-C,2024-11-28,Production Line 2,Security,Chemical/Hazmat,Critical,"walking the perimeter, i saw new contractors mixing volatile cleaning agents without wearing any respirators. it's a miracle no one was standing underneath when it happened. put up red caution tape and logged a high-priority, urgent maintenance ticket."
085C12E0-7,2026-08-24,Hazardous Waste Bay,Fleet Management,Housekeeping,Ordinary,"While doing some cleanup, there were a few scattered zip ties left on the floor near the racks. Looks a bit untidy and unprofessional. Reminded them politely to fix it next time."
9394C642-2,2026-07-18,Welding Bay,Quality Assurance,Minor Slip/Trip,Ordinary,"Just after lunch, an extension cord was temporarily taped across the floor for the vacuum Just wanted to note it for the next routine maintenance cycle"
BF7F25E3-0,2025-08-08,Server Room,R&D,Chemical/Hazmat,Critical,"At the start of the morning shift, a very strong ammonia smell was making everyone's eyes water in the sector. This is an immediate OSHA shutdown violation. Immediately shut off the main gas valve and opened the bay doors for ventilation."
CBD25EF0-F,2023-12-25,Visitor Parking Lot,Quality Assurance,Housekeeping,Ordinary,"I was walking back from the breakroom and the blue recycling bin is full and needs to be emptied Looks a bit untidy and unprofessional No action taken, just reporting it for the record"
332529A2-C,2026-03-05,Boiler Room,Security,Minor Slip/Trip,Ordinary,"While escorting a contractor, the welcome floor mat in the hallway was slightly bunched up at the corner. Purely a cosmetic issue, but worth logging. Left a sticky note on it for the janitorial staff."
7E62024C-1,2024-05-11,Rooftop HVAC Unit,Sanitation,Behavioral,Ordinary,While escorting a contractor someone forgot to push their ergonomic chair back in under the desk. No action taken just reporting it for the record.
7E02729C-B,2025-07-17,Security Desk,Admin,Minor Maintenance,Ordinary,"While unloading the delivery truck, one of the fluorescent overhead lights is flickering annoyingly. Purely a cosmetic issue, but worth logging. Left a sticky note on it for the janitorial staff."
757A834F-9,2026-01-19,Visitor Parking Lot,Admin,Minor Slip/Trip,Ordinary,While conducting the monthly audit a stray paperclip was on the ground in the hallway. It's just a minor inconvenience. I just picked it up myself and threw it away.
94D39CF4-E,2025-11-23,Warehouse B,Sanitation,Behavioral,Ordinary,"While unloading the delivery truck, people were talking quite loudly near the designated quiet zone. Annoying squeak, but harmless. Flattened the mat out with my foot and kept walking."
705EBD0F-A,2025-01-28,Warehouse A,R&D,Minor Slip/Trip,Ordinary,"While operating the equipment, a small piece of packing cardboard was left on the floor near the printers. Reminded them politely to fix it next time."
2E0720ED-8,2024-08-31,Production Line 1,Security,Behavioral,Ordinary,"While operating the equipment, someone forgot to push their ergonomic chair back in under the desk."
7E5DBAAD-9,2025-11-11,Boiler Room,Operations,Uncategorized,Ordinary,"Just before heading home, the paper shredder bin is slightly overflowing onto the carpet. Sent a quick email to facilities about it."
B3D54B79-0,2024-12-16,Freight Elevator,Admin,Housekeeping,Ordinary,"During the late night shift, there were a few scattered zip ties left on the floor near the racks. Just wanted to note it for the next routine maintenance cycle. Wiped it up with a paper towel on my way past."
59820B35-7,2024-01-04,Paint Shop,Facilities,Minor Maintenance,Ordinary,"While conducting the monthly audit, one of the fluorescent overhead lights is flickering annoyingly Just wanted to note it for the next routine maintenance cycle Left a sticky note on it for the janitorial staff"
224B8096-8,2026-01-05,R&D Lab,Health & Safety (EHS),Uncategorized,Ordinary,"While conducting the monthly audit, people were talking quite loudly near the designated quiet zone. It's just a minor inconvenience."
